기간,구분,아황산가스(ppm),일산화탄소(ppm),이산화질소(ppm),미세먼지(㎍/㎥),초미세먼지(㎍/㎥),오존(ppm)
2020,종로구,0.004,0.5,0.025,36,22,0.025
2020,중구,0.003,0.5,0.024,36,23,0.024
2020,용산구,0.003,0.5,0.02,36,20,0.022
2020,성동구,0.003,0.4,0.017,34,19,0.03
2020,광진구,0.003,0.6,0.02,33,19,0.028
2020,동대문구,0.003,0.5,0.027,33,21,0.023
2020,중랑구,0.003,0.4,0.025,33,21,0.025
2020,성북구,0.003,0.6,0.02,34,20,0.024
2020,강북구,0.003,0.5,0.025,32,19,0.026
2020,도봉구,0.003,0.5,0.024,35,19,0.024
2020,노원구,0.003,0.6,0.028,36,19,0.024
2020,은평구,0.003,0.4,0.02,38,21,0.024
2020,서대문구,0.003,0.4,0.018,32,19,0.029
2020,마포구,0.003,0.5,0.022,34,22,0.027
2020,양천구,0.004,0.5,0.026,39,22,0.024
2020,강서구,0.004,0.4,0.023,38,21,0.025
2020,구로구,0.003,0.3,0.023,37,20,0.028
2020,금천구,0.003,0.5,0.025,35,22,0.022
2020,영등포구,0.003,0.5,0.026,34,21,0.024
2020,동작구,0.003,0.4,0.025,40,22,0.023
2020,관악구,0.003,0.5,0.028,35,19,0.025
2020,서초구,0.003,0.4,0.027,39,21,0.029
2020,강남구,0.003,0.5,0.025,32,21,0.026
2020,송파구,0.003,0.5,0.027,34,21,0.024
2020,강동구,0.003,0.5,0.025,37,23,0.023
